sample_index,timestamp_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,ax_calibrated_g,ay_calibrated_g,az_calibrated_g,gx_dps,gy_dps,gz_dps
88098,880993,1748,-66,12052,-82,-180,-283,0.01449,-0.00548,0.99867,-0.62595,-1.37405,-2.16031
88099,881003,1776,-70,12004,-83,-176,-278,0.01621,-0.00572,0.99582,-0.63359,-1.34351,-2.12214
88100,881013,1720,-42,12024,-77,-182,-276,0.01277,-0.00401,0.99701,-0.58779,-1.38931,-2.10687
88101,881023,1722,-36,12018,-77,-181,-279,0.01289,-0.00364,0.99665,-0.58779,-1.38168,-2.12977
88102,881033,1718,-22,12040,-82,-180,-282,0.01265,-0.00278,0.99796,-0.62595,-1.37405,-2.15267
88103,881043,1734,-32,12078,-78,-184,-278,0.01363,-0.00339,1.00021,-0.59542,-1.40458,-2.12214
88104,881053,1742,-70,12090,-81,-176,-282,0.01412,-0.00572,1.00093,-0.61832,-1.34351,-2.15267
88105,881063,1756,14,12058,-79,-190,-285,0.01498,-0.00057,0.99903,-0.60305,-1.45038,-2.17557
88106,881073,1764,-68,12016,-74,-189,-282,0.01547,-0.0056,0.99653,-0.56489,-1.44275,-2.15267
88107,881083,1704,-54,12044,-76,-186,-281,0.01179,-0.00474,0.99819,-0.58015,-1.41985,-2.14504
88108,881093,1768,-50,12030,-80,-190,-279,0.01572,-0.0045,0.99736,-0.61069,-1.45038,-2.12977
88109,881103,1706,-34,11986,-84,-184,-280,0.01191,-0.00351,0.99475,-0.64122,-1.40458,-2.1374
88110,881113,1714,-8,12054,-83,-184,-282,0.0124,-0.00192,0.99879,-0.63359,-1.40458,-2.15267
88111,881123,1750,-38,12126,-78,-183,-282,0.01461,-0.00376,1.00307,-0.59542,-1.39695,-2.15267
88112,881133,1746,14,12014,-80,-193,-276,0.01437,-0.00057,0.99641,-0.61069,-1.47328,-2.10687
88113,881143,1712,-16,12006,-76,-187,-276,0.01228,-0.00241,0.99594,-0.58015,-1.42748,-2.10687
88114,881153,1686,-4,12062,-78,-181,-281,0.01068,-0.00167,0.99926,-0.59542,-1.38168,-2.14504
88115,881163,1742,-32,12044,-75,-187,-283,0.01412,-0.00339,0.99819,-0.57252,-1.42748,-2.16031
88116,881173,1740,2,12120,-79,-184,-280,0.014,-0.00131,1.00271,-0.60305,-1.40458,-2.1374
88117,881183,1718,-58,12094,-79,-182,-277,0.01265,-0.00499,1.00116,-0.60305,-1.38931,-2.1145
88118,881193,1708,-54,12092,-73,-181,-283,0.01203,-0.00474,1.00105,-0.55725,-1.38168,-2.16031
88119,881203,1726,-14,12052,-81,-178,-285,0.01314,-0.00229,0.99867,-0.61832,-1.35878,-2.17557
88120,881213,1748,-42,12070,-73,-185,-282,0.01449,-0.00401,0.99974,-0.55725,-1.41221,-2.15267
88121,881223,1744,-58,12042,-79,-186,-280,0.01424,-0.00499,0.99807,-0.60305,-1.41985,-2.1374
88122,881233,1686,-20,12042,-77,-189,-286,0.01068,-0.00266,0.99807,-0.58779,-1.44275,-2.18321
88123,881243,1724,-58,12100,-73,-187,-284,0.01302,-0.00499,1.00152,-0.55725,-1.42748,-2.16794
88124,881253,1738,-52,12128,-71,-182,-281,0.01387,-0.00462,1.00318,-0.54198,-1.38931,-2.14504
88125,881263,1738,-60,12038,-78,-178,-278,0.01387,-0.00511,0.99784,-0.59542,-1.35878,-2.12214
88126,881273,1750,-46,12120,-79,-186,-281,0.01461,-0.00425,1.00271,-0.60305,-1.41985,-2.14504
88127,881283,1728,-42,12046,-77,-178,-283,0.01326,-0.00401,0.99831,-0.58779,-1.35878,-2.16031
88128,881293,1708,-48,12104,-83,-187,-277,0.01203,-0.00437,1.00176,-0.63359,-1.42748,-2.1145
88129,881303,1688,-20,12056,-75,-191,-281,0.01081,-0.00266,0.99891,-0.57252,-1.45802,-2.14504
88130,881313,1750,-44,12084,-73,-190,-283,0.01461,-0.00413,1.00057,-0.55725,-1.45038,-2.16031
88131,881323,1720,-84,12006,-75,-184,-278,0.01277,-0.00658,0.99594,-0.57252,-1.40458,-2.12214
88132,881333,1770,-30,12040,-74,-184,-282,0.01584,-0.00327,0.99796,-0.56489,-1.40458,-2.15267
88133,881343,1740,-10,12078,-80,-181,-278,0.014,-0.00204,1.00021,-0.61069,-1.38168,-2.12214
88134,881353,1680,-22,12106,-80,-193,-278,0.01032,-0.00278,1.00188,-0.61069,-1.47328,-2.12214
88135,881363,1692,-70,12056,-80,-177,-280,0.01105,-0.00572,0.99891,-0.61069,-1.35115,-2.1374
88136,881373,1728,-36,12066,-78,-180,-276,0.01326,-0.00364,0.9995,-0.59542,-1.37405,-2.10687
88137,881383,1704,4,12038,-76,-177,-284,0.01179,-0.00118,0.99784,-0.58015,-1.35115,-2.16794
88138,881393,1720,-30,12096,-78,-187,-278,0.01277,-0.00327,1.00128,-0.59542,-1.42748,-2.12214
88139,881403,1710,-110,12078,-79,-190,-283,0.01216,-0.00818,1.00021,-0.60305,-1.45038,-2.16031
88140,881413,1712,-76,11992,-78,-178,-281,0.01228,-0.00609,0.9951,-0.59542,-1.35878,-2.14504
88141,881423,1722,10,12080,-77,-184,-278,0.01289,-0.00082,1.00033,-0.58779,-1.40458,-2.12214
88142,881433,1728,-52,12028,-72,-191,-280,0.01326,-0.00462,0.99724,-0.54962,-1.45802,-2.1374
88143,881443,1764,-72,12090,-74,-189,-279,0.01547,-0.00585,1.00093,-0.56489,-1.44275,-2.12977
88144,881453,1720,-64,12068,-74,-188,-286,0.01277,-0.00536,0.99962,-0.56489,-1.43511,-2.18321
88145,881463,1734,-8,12064,-72,-181,-281,0.01363,-0.00192,0.99938,-0.54962,-1.38168,-2.14504
88146,881473,1744,-24,12064,-71,-192,-278,0.01424,-0.0029,0.99938,-0.54198,-1.46565,-2.12214
88147,881483,1760,8,12068,-72,-179,-286,0.01522,-0.00094,0.99962,-0.54962,-1.36641,-2.18321
88148,881493,1702,-20,12042,-78,-179,-284,0.01167,-0.00266,0.99807,-0.59542,-1.36641,-2.16794
88149,881503,1714,-30,12086,-78,-182,-286,0.0124,-0.00327,1.00069,-0.59542,-1.38931,-2.18321
88150,881513,1738,-24,12076,-80,-188,-281,0.01387,-0.0029,1.0001,-0.61069,-1.43511,-2.14504
88151,881523,1746,-42,12074,-70,-191,-282,0.01437,-0.00401,0.99998,-0.53435,-1.45802,-2.15267
88152,881533,1702,-48,12042,-77,-183,-282,0.01167,-0.00437,0.99807,-0.58779,-1.39695,-2.15267
88153,881543,1702,-52,12026,-76,-189,-283,0.01167,-0.00462,0.99712,-0.58015,-1.44275,-2.16031
88154,881553,1724,-22,12058,-77,-184,-279,0.01302,-0.00278,0.99903,-0.58779,-1.40458,-2.12977
88155,881563,1724,-8,12048,-82,-188,-278,0.01302,-0.00192,0.99843,-0.62595,-1.43511,-2.12214
88156,881573,1772,-34,12042,-71,-188,-278,0.01596,-0.00351,0.99807,-0.54198,-1.43511,-2.12214
88157,881583,1724,-32,12074,-80,-177,-280,0.01302,-0.00339,0.99998,-0.61069,-1.35115,-2.1374
88158,881593,1684,-58,12036,-78,-179,-277,0.01056,-0.00499,0.99772,-0.59542,-1.36641,-2.1145
88159,881603,1744,-40,12046,-77,-184,-279,0.01424,-0.00388,0.99831,-0.58779,-1.40458,-2.12977
88160,881613,1706,-58,12064,-67,-184,-282,0.01191,-0.00499,0.99938,-0.51145,-1.40458,-2.15267
88161,881623,1740,-44,12078,-75,-182,-280,0.014,-0.00413,1.00021,-0.57252,-1.38931,-2.1374
88162,881633,1746,-56,12118,-77,-190,-285,0.01437,-0.00486,1.00259,-0.58779,-1.45038,-2.17557
88163,881643,1718,-34,12026,-79,-176,-277,0.01265,-0.00351,0.99712,-0.60305,-1.34351,-2.1145
88164,881653,1748,-30,12012,-75,-184,-280,0.01449,-0.00327,0.99629,-0.57252,-1.40458,-2.1374
88165,881663,1744,-34,12008,-76,-192,-282,0.01424,-0.00351,0.99605,-0.58015,-1.46565,-2.15267
88166,881673,1714,-12,12054,-74,-186,-283,0.0124,-0.00217,0.99879,-0.56489,-1.41985,-2.16031
88167,881683,1730,-12,12020,-75,-183,-281,0.01338,-0.00217,0.99677,-0.57252,-1.39695,-2.14504
88168,881693,1732,-28,12018,-78,-186,-283,0.01351,-0.00315,0.99665,-0.59542,-1.41985,-2.16031
88169,881703,1722,-20,12052,-80,-180,-285,0.01289,-0.00266,0.99867,-0.61069,-1.37405,-2.17557
88170,881713,1748,-60,12080,-82,-184,-286,0.01449,-0.00511,1.00033,-0.62595,-1.40458,-2.18321
